Key,TR,EN
tab.yetenekler,Yetenekler,Skills
tab.basarimlar,Başarımlar,Achievements
tablet.locked.story,KİLİTLİ — hikâye,LOCKED — story
tablet.noreviews,Henüz yorum yok. Müşterileri memnun et.,No reviews yet. Keep customers happy.
tablet.dailyquest,GÜNLÜK GÖREV,DAILY QUEST
tablet.questdone,Tamamlandı! Yarın yeni görev.,Done! New quest tomorrow.
tablet.storygoal,HİKÂYE HEDEFİ,STORY GOAL
tablet.stats,İSTATİSTİKLER,STATISTICS
tablet.regulars,MÜDAVİMLER,REGULARS
tablet.noregulars,Henüz müdavim yok. %80+ doğrulukla servis yap.,No regulars yet. Serve at 80%+ accuracy.
tablet.apprentice,ÇIRAK,APPRENTICE
tablet.nostaff,"Çırak yok. 400 TL peşinat, Seviye 3 gerekli.","No apprentice. 400 TL deposit, requires level 3."
tablet.wantsraise,ZAM İSTİYOR! Yoksa moral düşer.,WANTS A RAISE! Morale drops otherwise.
tablet.cat,KEDİ,CAT
ing.bulgur,Bulgur,Bulgur
ing.isot,İsot,Isot Pepper
ing.salca,Salça,Tomato Paste
ing.su,Su,Water
ing.baharat,Baharat,Spices
top.marul,Marul,Lettuce
top.maydanoz,Maydanoz,Parsley
top.domates,Domates,Tomato
top.tursu,Turşu,Pickles
top.sogan,Soğan,Onion
top.limon,Limon,Lemon
top.nareksisi,Nar Ekşisi,Pomegranate Molasses
stock.ayran,Ayran,Ayran
stock.lavas,Lavaş,Flatbread
side.none,Yok,None
side.iclikofte,İçli Köfte,Stuffed Meatball
side.corba,Mercimek Çorbası,Lentil Soup
side.kunefe,Künefe,Kunefe
side.cay,Çay,Tea
spice.mild,Az Acılı,Mild
spice.medium,Orta Acılı,Medium
spice.hot,Çok Acılı,Hot
quality.legendary,Efsanevi,Legendary
quality.master,Usta İşi,Masterful
quality.good,İyi,Good
quality.normal,Normal,Normal
quality.weak,Zayıf,Poor
quality.failed,Başarısız,Failed
common.unknown,?,?
prompt.bulgur,"[E] Bulgur ekle","[E] Add bulgur"
prompt.isot,"[E] İsot ekle (acı!)","[E] Add isot (hot!)"
prompt.salca,"[E] Salça ekle","[E] Add tomato paste"
prompt.su,"[E] Su ekle","[E] Add water"
prompt.baharat,"[E] Baharat ekle","[E] Add spices"
prompt.yogurma,"[Sol Tık] Yoğur | dürüm açıksa [E] hamur ekle","[LMB] Knead | [E] add dough to wrap"
prompt.servis,"[E] Sıradaki müşteriye dürümü ver","[E] Serve the next customer"
prompt.lavabo,"[E] Ellerini yıka","[E] Wash your hands"
prompt.cop,"[E] Çöp: dürüm/kase iptal ya da çöpü boşalt","[E] Bin: discard wrap/bowl or empty trash"
prompt.dograma,"[E] Marul doğra","[E] Chop lettuce"
prompt.lavas,"[E] Lavaş koy — dürüm hazırlamaya başla","[E] Lay flatbread — start a wrap"
prompt.paketleme,"[E] Paket/tabak değiştir | [G] Rafa kaldır","[E] Toggle takeaway/plate | [G] Shelve"
prompt.buzdolabi,"[E] Hamuru buzdolabına koy / çıkar","[E] Put dough in/out of the fridge"
prompt.temizlik,"[E] Tezgahı ve doğrama alanını sil","[E] Wipe counter and chopping area"
prompt.bulasik,"[E] Bulaşıkları yıka","[E] Wash the dishes"
prompt.cay,"[E] Çay iç (15 TL, enerji +40)","[E] Drink tea (15 TL, +40 energy)"
prompt.mamakabi,"[E] Kediye mama koy (20 TL)","[E] Feed the cat (20 TL)"
prompt.tarif,"[E] Tarif değiştir","[E] Change recipe"
prompt.yanurun,"[E] Yan ürün ekle (içli köfte / çorba / künefe / çay)","[E] Add a side (kofte / soup / kunefe / tea)"
prompt.locked,"Kilitli — Seviye {0}'de açılır","Locked — unlocks at level {0}"
hud.daytitle,"GÜN {0} — ÇİĞKÖFTECİ","DAY {0} — CIGKOFTE SHOP"
hud.money,"Para: {0} TL","Cash: {0} TL"
hud.timeleft,"Kalan süre: {0} sn","Time left: {0}s"
hud.level,"Seviye {0}","Level {0}"
hud.popularity,"Popülerlik","Popularity"
hud.hygiene,"Hijyen","Hygiene"
hud.shopstars,"Dükkân {0}","Shop {0}"
hud.event,"   Olay: {0}","   Event: {0}"
hud.bowl,"KASE — {0} TARİFİ","BOWL — {0} RECIPE"
hud.targetmix,"Hedef karışım: isot {0}","Target mix: isot {0}"
hud.scoop,"{0}  {1} / {2} ölçek","{0}  {1} / {2} scoops"
hud.knead,"Yoğurma","Kneading"
hud.dough,"HAMUR: {0} porsiyon — {1}, {2}","DOUGH: {0} servings — {1}, {2}"
hud.freshness,"Tazelik","Freshness"
hud.fridge,"Buzdolabında: {0} porsiyon (tazelik %{1})","In fridge: {0} servings (freshness {1}%)"
hud.supplies,"Garnitür {0} | Lavaş {1} | Ayran {2} | Raf {3}/{4}","Toppings {0} | Flatbread {1} | Ayran {2} | Shelf {3}/{4}"
hud.wrapinprogress,"DÜRÜM HAZIRLANIYOR","WRAP IN PROGRESS"
hud.wrapcontents,"İçinde: {0} porsiyon çiğköfte ({1})","Contains: {0} servings ({1})"
hud.wrapempty,"İçi boş — yoğurma kabından hamur ekle (E)","Empty — add dough from the kneading bowl (E)"
hud.toppingshint,"Garnitürler (rakam tuşları):","Toppings (number keys):"
hud.onplate,"TABAKTA","ON PLATE"
hud.wraphint,"F: dürümü sar | Paketleme'de E: paket/tabak","F: roll the wrap | E at packing: takeaway/plate"
hud.nextcustomer,"SIRADAKİ MÜŞTERİ","NEXT CUSTOMER"
hud.regular,"MÜDAVİM — {0}","REGULAR — {0}"
hud.onewrap,"1 dürüm","1 wrap"
hud.notoppings,"Garnitür istemiyor (sade)","No toppings (plain)"
hud.noonion,"İstemiyor: soğan!","No onion!"
hud.noayran,"Ayran: yok","No ayran"
hud.plate,"Tabakta","Plate"
hud.patience,"Sabır","Patience"
hud.delivery,"PAKET SERVİS — sarı ışıklı kapılar","DELIVERIES — doors with yellow lights"
hud.energy,"Enerji","Energy"
hud.fuel,"Yakıt","Fuel"
hud.deliverprompt,"[E] Teslim et (kapıda) / arabadan in","[E] Deliver (at the door) / exit car"
hud.carlocked,"Araba için Seviye 4 gerek","Car requires level 4"
hud.cat,"Kedi","Cat"
hud.petcat,"[E] {0}'u sev","[E] Pet {0}"
hud.stockparen,"  (stok {0})","  (stock {0})"
hud.chopprompt,"[E] Marul doğra {0}/{1} (stok {2}, garnitür {3})","[E] Chop lettuce {0}/{1} (stock {2}, prepped {3})"
hud.keyshint,"Tuşlar: WASD, Boşluk, E, Sol Tık, F, G, T, F1, F5, F9","Keys: WASD, Space, E, LMB, F, G, T, F1, F5, F9"
hud.twoportions,"2 PORSİYON","2 PORTIONS"
hud.ayranyes,"Ayran: EVET","Ayran: YES"
hud.takeaway,"PAKET olacak","TAKEAWAY"
hud.spiceline,"Acı: {0}   |   {1}","Heat: {0}   |   {1}"
hud.wantsline,"İstiyor: {0}","Wants: {0}"
hud.pair,"{0}   |   {1}","{0}   |   {1}"
hud.packed,"PAKET","TAKEAWAY"
hud.wrapdone,DÜRÜM — SARILDI,WRAP — ROLLED
hud.toppingspad,"Garnitürler (LB/RB seç, B uygula):","Toppings (select with LB/RB, apply with B):"
hud.sideline,"{0}9  {1} Yanında: {2}{3}","{0}9  {1} Side: {2}{3}"
hud.sideprice," (+{0} TL)"," (+{0} TL)"
hud.wrappedhint,"Serviste E: teslim et | G: rafa kaldır","E at service: hand over | G: shelve"
hud.nextvip,SIRADAKİ MÜŞTERİ — VIP!,NEXT CUSTOMER — VIP!
hud.deliveryrow,"{0}{1} | {2} sn | {3} m | {4}","{0}{1} | {2}s | {3}m | {4}"
hud.bulkprefix,[TOPLU],[BULK]
hud.entercar,[E] Arabaya bin,[E] Enter car
hud.controls.pad,"Sol çubuk yürü | Y zıpla | A etkileşim | RT yoğur | X sar | R3 raf | LB/RB seç, B uygula | Select tablet | Start menü","Left stick move | Y jump | A interact | RT knead | X wrap | R3 shelve | LB/RB select, B apply | Select tablet | Start menu"
hud.controls.keyboard,"WASD | Boşluk zıpla | E etkileşim | Sol Tık yoğur | 1-8 garnitür | 9 yan ürün | F sar | G raf | T tablet | Esc menü","WASD | Space jump | E interact | LMB knead | 1-8 toppings | 9 side | F wrap | G shelve | T tablet | Esc menu"
title.presents.spaced,s u n a r,p r e s e n t s
title.skip,geçmek için E,press E to skip
title.presents,EG GAMES sunar,EG GAMES presents
title.name,ÇİĞKÖFTE SİMÜLATÖRÜ,CIGKOFTE SIMULATOR
title.tagline,Borçlu devraldığın dükkânı mahallenin gururuna dönüştür,Turn the indebted shop you inherited into the pride of the neighbourhood
menu.continue,Devam Et,Continue
menu.start,Oyuna Başla,Start Game
menu.newgame,Yeni Oyun,New Game
menu.settings,Ayarlar,Settings
menu.quit,Çıkış,Quit
menu.save,Oyunu Kaydet,Save Game
menu.quitgame,Oyundan Çık,Quit Game
menu.hint,Yukarı/Aşağı seç · E ya da Enter onayla,Up/Down select · E or Enter confirm
pause.hint,Yukarı/Aşağı seç · Enter onayla · Esc devam,Up/Down select · Enter confirm · Esc resume
summary.title,GÜN {0} BİTTİ,DAY {0} COMPLETE
summary.earnings,Kazanç: +{0} TL,Earnings: +{0} TL
summary.customers,Servis edilen {0}  ·  Kaçan müşteri {1},Served {0}  ·  Customers lost {1}
summary.rent,Kira: -{0} TL,Rent: -{0} TL
summary.cash,Kasa: {0} TL,Cash: {0} TL
summary.rating,Dükkân puanı: {0},Shop rating: {0}
summary.nextday,Yeni gün başlıyor...,A new day is starting...
gameover.title,İFLAS ETTİN!,YOU WENT BANKRUPT!
gameover.reason,Kira {0} TL'ydi; kasa yetmedi. {1} gün dayandın.,Rent was {0} TL and you couldn't cover it. You lasted {1} days.
gameover.restart,Yeniden başlamak için R,Press R to restart
common.high,Yüksek,High
common.low,Düşük,Low
common.normal,Normal,Normal
common.veryfast,Çok hızlı,Very fast
common.slow,Yavaş,Slow
common.expensive,Pahalı,Expensive
common.cheap,Ucuz,Cheap
tablet.salesmult,satış x{0},sales x{0}
tablet.levelshort,Sv.{0},Lv.{0}
tablet.recipemix,"     {0} · isot: {1}","     {0} · isot: {1}"
tablet.pricemult,fiyat x{0},price x{0}
tablet.supplierdetail,"     Kalite: {0} · Teslimat: {1} · İlişki","     Quality: {0} · Delivery: {1} · Relationship"
tablet.ingredienttier,{0}) Malzeme kalitesi: {1},{0}) Ingredient quality: {1}
tablet.costquality,maliyet x{0} · kalite x{1},cost x{0} · quality x{1}
tablet.yourpopularity,Senin popülerliğin: {0} ({1}),Your popularity: {0} ({1})
tablet.closed,KAPANDI,CLOSED
tablet.campaign,KAMPANYA!,CAMPAIGN!
tablet.rivaldetail,"     Fiyat: {0} · Kalite {1} · Hijyen {2}","     Price: {0} · Quality {1} · Hygiene {2}"
tablet.overallrating,GENEL PUAN: {0}  ({1} / 5),OVERALL RATING: {0}  ({1} / 5)
tablet.ratings,Yemek {0}  Servis {1}  Fiyat {2}  Hijyen {3}  Atmosfer {4},Food {0}  Service {1}  Price {2}  Hygiene {3}  Atmosphere {4}
tablet.reviewday,Gün {0},Day {0}
tablet.stats.service,Servis {0} · Paket {1} · Kusursuz {2} · Kızan {3},Served {0} · Deliveries {1} · Perfect {2} · Angry {3}
tablet.stats.earnings,Toplam kazanç {0} TL · En iyi gün {1} TL,Total earnings {0} TL · Best day {1} TL
tablet.regularstats,{0} ziyaret · güven {1},{0} visits · trust {1}
tablet.staffline,{0} — Seviye {1} · {2},{0} — Level {1} · {2}
tablet.salary,{0} TL/gün,{0} TL/day
tablet.task,Görev: {0},Task: {0}
tablet.change,(1: değiştir),(1: change)
tablet.energy,     Enerji,     Energy
tablet.morale,     Moral,     Morale
tablet.raise,(2: zam ver),(2: give raise)
tablet.hire,(1: işe al),(1: hire)
tablet.satiety,     Tokluk,     Satiety
tablet.attention,     İlgi,     Attention
economy.policy.cheap,"Ucuz (x0.8, müşteriler sabırlı)","Cheap (x0.8, customers are patient)"
economy.policy.expensive,"Pahalı (x1.25, müşteriler sabırsız)","Expensive (x1.25, customers are impatient)"
economy.policy.normal,Normal (x1.0),Normal (x1.0)
economy.tier.cheap,Ucuz,Budget
economy.tier.quality,Kaliteli,Premium
prompt.glovemax,Yoğurma eldiveni maksimum seviyede,Kneading glove at maximum level
prompt.isotmax,Premium isot maksimum seviyede,Premium isot at maximum level
prompt.gloveupgrade,[E] Yoğurma eldiveni Sv.{0} — {1} TL (daha hızlı yoğur),[E] Kneading glove Lv.{0} — {1} TL (knead faster)
prompt.isotupgrade,[E] Premium isot Sv.{0} — {1} TL (kalite +4),[E] Premium isot Lv.{0} — {1} TL (+4 quality)
prompt.advertise,[E] Reklam ver — {0} TL (itibar +8),[E] Advertise — {0} TL (+8 reputation)
msg.money.need,Para yetmiyor! {0} TL gerek.,Not enough money! You need {0} TL.
msg.economy.branchincome,Şubeden günlük gelir: +250 TL,Daily branch income: +250 TL
msg.economy.policy,Fiyat politikası: {0},Pricing policy: {0}
msg.economy.glovemax,Eldiven zaten maksimum seviyede.,The glove is already at maximum level.
msg.economy.isotmax,İsot zaten maksimum seviyede.,The isot is already at maximum level.
msg.economy.glovebought,Yoğurma eldiveni Sv.{0} alındı! Kollar makine gibi.,Kneading glove Lv.{0} purchased! Your arms are machines.
msg.economy.isotbought,Premium isot Sv.{0}! Urfa'dan taze geldi.,Premium isot Lv.{0}! Fresh from Urfa.
msg.economy.advertised,Reklam verildi! Mahalle senin adını konuşuyor.,Ad placed! The neighbourhood is talking about you.
msg.economy.alreadyowned,{0} zaten kurulu.,{0} is already installed.
msg.economy.levelneeded,{0} için Seviye {1} gerek.,You need Level {1} for {0}.
msg.economy.upgradecost,{0} için {1} TL gerek — para yetmiyor.,You need {1} TL for {0} — not enough money.
msg.economy.installed,{0} kuruldu! {1},{0} installed! {1}
msg.economy.supplier,Tedarikçi: {0} — {1},Supplier: {0} — {1}
msg.economy.ingredientquality,Malzeme kalitesi: {0} (maliyet x{1}; kalite x{2}),Ingredient quality: {0} (cost x{1}; quality x{2})
msg.economy.relation5,{0} seni tanıdı: %5 indirim!,{0} knows you now: 5% discount!
msg.economy.relation10,{0} ile aran çok iyi: %10 indirim + hızlı teslimat!,You have a great relationship with {0}: 10% discount + fast delivery!
msg.economy.houseowned,Ev zaten senin!,You already own the house!
msg.economy.houselevel,Ev almak için Seviye 5 olmalısın.,You must be Level 5 to buy the house.
msg.economy.housecost,Ev {0} TL — paran yetmiyor.,The house costs {0} TL — not enough money.
msg.economy.housebought,EVİ SATIN ALDIN! Her gün +150 TL kira geliri.,YOU BOUGHT THE HOUSE! +150 TL rental income each day.
msg.economy.fuelfull,Depo zaten dolu.,The fuel tank is already full.
msg.economy.fuelcost,Yakıt {0} TL — para yetmiyor.,Fuel costs {0} TL — not enough money.
msg.economy.refueled,Depo fullendi (-{0} TL).,Tank filled (-{0} TL).
msg.economy.carhealthy,Araç zaten sapasağlam.,The car is already in perfect condition.
msg.economy.repaircost,Tamir {0} TL — para yetmiyor.,Repairs cost {0} TL — not enough money.
msg.economy.repaired,Araç tamir edildi (-{0} TL).,Car repaired (-{0} TL).
msg.inventory.nomoney,Para yetmiyor! {0} paketi {1} TL.,Not enough money! A pack of {0} costs {1} TL.
msg.inventory.delayed,"Tedarikçi: 'Abi kusura bakma, biraz gecikeceğiz...'","Supplier: 'Sorry boss, we're running a little late...'"
msg.inventory.ordered,"Kurye yola çıktı: {0} {1} ({2} TL, ~{3} sn)","Courier is on the way: {0} {1} ({2} TL, ~{3}s)"
msg.inventory.arrived,Kurye geldi: +{0} {1},Courier arrived: +{0} {1}
msg.inventory.garnishfull,Garnitür kabı dolu ({0}).,The topping container is full ({0}).
msg.inventory.nolettuce,Marul bitti! Tabletten (T) sipariş ver.,Out of lettuce! Order from the tablet (T).
msg.inventory.garnishready,Garnitür hazır! ({0} adet) Dürüme marul eklemek için kullanılır.,Toppings ready! ({0}) Use them to add lettuce to wraps.
msg.hygiene.hands,Eller tertemiz! Müşteriler bunu sever.,Your hands are spotless! Customers like that.
msg.hygiene.cleaned,Tezgâh ve doğrama alanı pırıl pırıl.,The counter and chopping area are sparkling clean.
msg.hygiene.alreadyclean,Zaten temizdi ama olsun; parlıyor.,It was already clean; now it shines.
msg.hygiene.nodishes,Bulaşık yok. Keyfine bak.,No dishes. Enjoy the break.
msg.hygiene.dishesdone,Bulaşıklar bitti. Mutfak nefes aldı.,Dishes done. The kitchen can breathe again.
msg.hygiene.binempty,Çöp zaten boş.,The bin is already empty.
msg.hygiene.binemptied,Çöp boşaltıldı. Sinekler üzgün.,Bin emptied. The flies are disappointed.
msg.day.started,Gün {0} başladı! Bereketli olsun.,Day {0} has begun! May it be prosperous.
msg.day.rentincome,Evden kira geliri: +150 TL,Rental income from the house: +150 TL
msg.station.locked,{0} henüz kapalı — Seviye {1}'de açılıyor.,{0} is still locked — unlocks at Level {1}.
msg.tea.fullenergy,Enerjin zaten yerinde; çay keyif için içilir ama şimdi iş var.,Your energy is already full; tea is nice but there's work to do.
msg.tea.nomoney,Çay 15 TL (demlik masrafı) — para yetmiyor.,Tea costs 15 TL — not enough money.
msg.tea.drank,Çay içtin. Enerji +40; stres azaldı. Şimdi tezgâha!,You drank tea. +40 energy; stress reduced. Back to the counter!
msg.ui.recipeselected,Tarif seçildi: {0},Recipe selected: {0}
msg.ui.recipelocked,Bu tarif henüz kilitli.,This recipe is still locked.
msg.ui.supplierselected,Tedarikçi seçildi: {0},Supplier selected: {0}
msg.ui.saved,Oyun kaydedildi.,Game saved.
cooking.mix,{0} ölçek bulgur · {1} su · {2} salça · {3} baharat · {4} isot,{0} scoops bulgur · {1} water · {2} tomato paste · {3} spices · {4} isot
cooking.isot.light,Hafif,Light
cooking.isot.medium,Orta,Medium
cooking.isot.strong,Yoğun,Strong
float.money.plus,+{0} TL,+{0} TL
float.doughready,HAMUR HAZIR!,DOUGH READY!
float.combo,KOMBO x{0}!,COMBO x{0}!
float.cat.purr,Mirrr ~,Purr ~
float.achievement,BAŞARIM: {0},ACHIEVEMENT: {0}
float.customer.vip, (VIP x3!), (VIP x3!)
float.customer.tip, +bahşiş, +tip
float.customer.earn,+{0} TL{1}{2},+{0} TL{1}{2}
label.inspector,MUFETTIS,INSPECTOR
label.staff.apprentice,ÇIRAK {0},APPRENTICE {0}
customer.tag.portion, PORSIYON, PORTION
customer.tag.wrap, DURUM, WRAP
customer.tag.ayran, +AYRAN, +AYRAN
customer.tag.packed, PAKET, TAKEAWAY
customer.tag.vip,VIP!,VIP!
customer.desc.vip,VIP:,VIP:
customer.leave.angry,BOYLE ISYERI MI OLUR!,WHAT KIND OF PLACE IS THIS!
customer.leave.happy,ELINE SAGLIK USTA!,THANKS BOSS!
customer.seated,Afiyet olsun!,Enjoy your meal!
msg.cat.nopet,"{0} şu an ilgi istemiyor. (Kedidir, yapar.)",{0} doesn't want attention right now. (It's a cat.)
msg.cat.petted,{0}'u sevdin. Müşteriler bu samimiyeti hissediyor (+1 popülerlik).,You petted {0}. Customers feel that warmth (+1 popularity).
msg.cat.full,"{0} tok, mamaya dönüp bakmadı bile.",{0} is full and ignored the food.
msg.cat.nomoney,Mama 20 TL — para yetmiyor.,Cat food costs 20 TL — not enough money.
msg.cat.fed,{0} mamasını afiyetle yedi (-20 TL).,{0} happily ate the food (-20 TL).
msg.cat.renamed,Kedinin yeni adı: {0},Cat's new name: {0}
msg.cat.happyday,{0} bugün keyifli — dükkana uğur getiriyor (+2 popülerlik).,{0} is cheerful today — brings luck to the shop (+2 popularity).
msg.cat.sadday,{0} küs ve aç... Tüy dökümü hijyeni tehdit ediyor!,{0} is upset and hungry... Shedding is hurting hygiene!
msg.cat.hungry,{0} acıktı! Mama kabına mama koy (E).,{0} is hungry! Put food in the bowl (E).
msg.staff.alreadyhired,{0} zaten çalışıyor (günlük {1} TL).,{0} is already working ({1} TL/day).
msg.staff.needlevel,Çırak için Seviye 3 gerek.,Apprentice requires Level 3.
msg.staff.nomoney,Çırak peşinatı 400 TL — para yetmiyor.,Apprentice deposit is 400 TL — not enough money.
msg.staff.hired,{0} işe başladı! Görevi tabletten değiştirebilirsin (Personel sekmesi).,{0} started working! You can change the task from the tablet (Staff tab).
msg.staff.taskchanged,{0}'nin yeni görevi: {1},{0}'s new task: {1}
msg.staff.raise,{0}'ye zam yaptın (yeni maaş {1} TL). Morali yerine geldi!,You gave {0} a raise (new salary {1} TL). Morale is restored!
msg.staff.levelup,{0} ustalaşıyor! (Çırak seviyesi {1}),{0} is improving! (Apprentice level {1})
msg.staff.newspec,{0} artık {1}!,{0} is now {1}!
msg.staff.served,{0} bir müşteriyi kendisi ağırladı (+{1} TL).,{0} handled a customer alone (+{1} TL).
msg.staff.shelved,{0} rafa bir paket hazırladı ({1}/{2}).,{0} prepared a takeaway for the shelf ({1}/{2}).
msg.staff.askraise,"{0}: 'Usta, maaş konusunu konuşacaktık...' (tabletten zam verebilirsin)","{0}: 'Boss, we should talk about salary...' (you can give a raise from tablet)"
msg.staff.salary,Çırak maaşı: -{0} TL,Apprentice salary: -{0} TL
msg.staff.unpaid,"{0}'nin maaşını ödeyemedin ({1}. gün). Morali düşüyor.","Could not pay {0}'s wage (day {1}). Morale is dropping."
msg.staff.transferoffer,"Rakip dükkân {0}'ye {1} TL teklif etmiş. Tabletten karşı teklif verebilirsin.","A rival offered {0} {1} TL. You can counter from the tablet."
msg.staff.transferred,{0} rakip dükkâna geçti.,{0} left for a rival shop.
msg.staff.counteroffer,"{0} kalmayı kabul etti (yeni maaş {1} TL).","{0} agreed to stay (new salary {1} TL)."
msg.staff.mistake.garnish,{0} garnitürü ziyan etti.,{0} spoiled some garnish.
msg.staff.mistake.plate,{0} tabak düşürdü — bulaşık arttı.,{0} dropped a plate - more washing up.
msg.staff.mistake.customer,{0} sıradaki müşteriyi bekletti.,{0} kept the next customer waiting.
msg.staff.bonus,"{0} bugün ekstra gayretliydi, kasada +40 TL fark var!","{0} worked extra hard today, +40 TL in the register!"
msg.staff.quit,"{0} istifa etti! 'Böyle çalışılmaz usta...'",{0} quit! 'I can't work like this...'
staff.task.chop,Doğrama,Chopping
staff.task.clean,Temizlik,Cleaning
staff.task.cashier,Kasa/Servis,Cashier/Service
staff.task.pack,Paket Hazırlama,Pack Preparation
staff.task.stock,Stok Takibi,Stock Tracking
staff.spec.service,Servis Uzmanı,Service Specialist
staff.spec.chop,Doğrama Uzmanı,Chopping Specialist
staff.spec.hygiene,Hijyen Uzmanı,Hygiene Specialist
staff.spec.pack,Paket Servis Uzmanı,Delivery Packaging Specialist
staff.spec.master,Çiğköfte Ustası,Cigkofte Master
staff.spec.none,Uzmanlık yok,No specialty
msg.skill.pointsgained,+{0} yetenek puanı! Tabletten (T) Yetenekler sekmesine bak.,+{0} skill point! Check Skills tab on tablet (T).
msg.skill.maxrank,Bu yetenek zaten son rütbede.,This skill is already at max rank.
msg.skill.nopoints,Yetenek puanın yok — seviye atla.,No skill points — level up first.
msg.skill.upgraded,YETENEK: {0} rütbe {1}/{2} — {3},SKILL: {0} rank {1}/{2} — {3}
msg.skill.prestigereq,Seviye {0}/{1} · Kasa {2}/{3} TL,Level {0}/{1} · Cash {2}/{3} TL
msg.skill.prestigeneed,Devretmek için: {0},To prestige: {0}
msg.skill.prestigedone,DÜKKÂN DEVREDİLDİ! {0}. dükkân — kalıcı gelir bonusu %{1}. Unvan: {2},SHOP HANDED OVER! Shop #{0} — permanent income bonus {1}%. Title: {2}
skill.prestige.0,Mahalle Esnafı,Neighborhood Shopkeeper
skill.prestige.1,İki Dükkân Sahibi,Two-Shop Owner
skill.prestige.2,Zincir Kuruyor,Building a Chain
skill.prestige.3,Şehrin Çiğköftecisi,City's Cigkofte Master
skill.prestige.4,Çiğköfte İmparatoru,Cigkofte Emperor
msg.achievement.unlocked,BAŞARIM AÇILDI: {0} — {1} ({2}/{3}),ACHIEVEMENT UNLOCKED: {0} — {1} ({2}/{3})
msg.rival.campaign,{0} kampanya başlattı! Broşürler her yerde.,{0} launched a campaign! Flyers are everywhere.
msg.rival.scandal,"Dedikodu: {0}'de müşteriler zehirlenme şüphesiyle şikayetçi olmuş!","Rumor: customers complained about food poisoning at {0}!"
msg.rival.growing,{0} büyüyor... Tezgah sayısını artırmışlar.,{0} is growing... They increased their counters.
msg.rival.closed,{0} KAPANDI! Mahallede tek gerçek çiğköfteci kaldı gibi...,{0} CLOSED! Looks like you're the only real cigkofte shop left...
msg.delivery.new,PAKET SERVİS: {0} — {1},DELIVERY ORDER: {0} — {1}
msg.delivery.bulk,TOPLU SİPARİŞ: {0} — 2 paket birden götür! ({1} TL),BULK ORDER: {0} — deliver 2 packages! ({1} TL)
msg.delivery.expired,Paket servis zaman aşımına uğradı ({0})! İtibar düştü.,Delivery order expired ({0})! Reputation dropped.
msg.delivery.nopack,"Yanında paket yok! (Gerekli: {0} — Paketleme istasyonunda G ile rafa koy, raftakiler otomatik yanında)",No packaged wrap on you! (Need: {0} — shelf with G at packaging station)
msg.delivery.done,Teslimat tamam! +{0} TL (puan %{1},Delivery complete! +{0} TL (score {1}%
msg.delivery.note.cold,", paket soğumuştu",", package was cold"
msg.delivery.note.miss,", sipariş pek tutmadı",", order didn't match well"
msg.delivery.done.suffix,),)
msg.cooking.secretunlocked,Eski usta gizli tarifini emanet etti! (Tarif panosundan seç),The old master entrusted you with a secret recipe! (Select from recipe board)
